State Code,County Code,County Name,database,raw format,tool,status,date,notes
,,,,,,,,
,42101,philadelphia,assessments,csv,python_pandas,done,12/14/20,
,42101,philadelphia,properties,json,python_pandas,done,12/14/20,
,42101,philadelphia,dept_of_records,shp,bash,done,12/14/20,
,42101,philadelphia,land_use,shp,bash,done,12/14/20,
,42101,philadelphia,re_transfers,,,,,carto api
,42101,philadelphia,re_tax_delinquencies,,,,,carto api
,42101,philadelphia,business licenses,,,,,carto api
,42101,philadelphia,building permits,,,,,carto api
,42101,philadelphia,li_violations,,,,,carto api
,42101,philadelphia,unsafe_violations,,,,,carto api
,42101,philadelphia,dangerous_violations,,,,,carto api
,42101,philadelphia,re_transfers_18-19,,,,,carto api
,42101,philadelphia,re_transfers_16-17,,,,,carto api
,42101,philadelphia,re_transfers_14-15,,,,,carto api
,42101,philadelphia,re_transfers_12-13,,,,,carto api
,42101,philadelphia,re_transfers_10-11,,,,,carto api
,42101,philadelphia,re_transfers_08-09,,,,,carto api
,42101,philadelphia,re_transfers_06-07,,,,,carto api
,42101,philadelphia,re_transfers_04-05,,,,,carto api
,42101,philadelphia,re_transfers_02-03,,,,,carto api
,42101,philadelphia,re_transfers_prior-01,,,,,carto api
,42101,philadelphia,biz_licenses_archive,,,,,carto api
,42101,philadelphia,building_permits_07-15,,,,,carto api
,42101,philadelphia,building_permits_archive,,,,,carto api
,42101,philadelphia,li_violations_16-18,,,,,carto api
,42101,philadelphia,li_violations_13-15,,,,,carto api
,42101,philadelphia,li_violations_10-12,,,,,carto api
,42101,philadelphia,li_violations_07-09,,,,,carto api
